Ticket_ID,Created_Date,Resolved_Date,Priority,Department,Category,Status
TCK-1000,2025-01-01 00:30:14.581458,2025-01-01 12:40:26.360892615,Unassigned,DevOps,Software,Closed
TCK-1001,2025-01-01 00:30:14.581458,2025-01-01 23:32:41.905535794,High,IT Support,Network,Closed
TCK-1002,2025-01-01 00:30:14.581458,2025-01-03 02:28:49.364116696,Medium,DevOps,Software,Closed
TCK-1003,2025-01-01 01:00:29.162916,2025-01-01 02:43:49.685431188,Low,Finance,Access Control,Resolved
TCK-1004,2025-01-01 01:00:29.162916,2025-01-01 01:21:45.420534257,Unassigned,Operations,Email,Resolved
TCK-1005,2025-01-01 02:00:58.325832,2025-01-02 07:30:25.128752023,High,Operations,Access Control,Resolved
TCK-1006,2025-01-01 02:00:58.325832,2025-01-01 04:04:36.568971326,High,HR,Hardware,Resolved
TCK-1007,2025-01-01 02:31:12.907290,2025-01-04 08:16:32.731690862,Medium,Finance,Access Control,Closed
TCK-1008,2025-01-01 03:01:27.488748,2025-01-01 20:24:35.888147674,Medium,IT Support,Access Control,Closed
TCK-1009,2025-01-01 03:31:42.070207,2025-01-01 22:28:11.149632346,Low,IT Support,Hardware,Closed
TCK-1010,2025-01-01 03:31:42.070207,2025-01-01 07:31:12.062396588,Critical,HR,Hardware,Resolved
TCK-1011,2025-01-01 04:32:11.233123,2025-01-01 09:29:01.374759409,Critical,DevOps,Email,Resolved
TCK-1012,2025-01-01 04:32:11.233123,2025-01-01 23:55:14.392750157,Low,Finance,Email,Closed
TCK-1013,2025-01-01 04:32:11.233123,2025-01-02 23:49:29.729743760,Medium,HR,Network,Closed
TCK-1014,2025-01-01 05:02:25.814581,2025-01-04 05:44:53.740586142,Low,DevOps,Software,Closed
TCK-1016,2025-01-01 05:32:40.396039,2025-01-01 08:08:12.147643829,Medium,DevOps,Access Control,Closed
TCK-1017,2025-01-01 05:32:40.396039,2025-01-01 06:35:22.319238670,Medium,IT Support,Access Control,Closed
TCK-1018,2025-01-01 06:02:54.977497,2025-01-02 18:32:17.928198565,Medium,DevOps,Email,Resolved
TCK-1019,2025-01-01 06:02:54.977497,2025-01-01 12:20:00.097431102,Medium,Operations,Software,Resolved
TCK-1020,2025-01-01 06:33:09.558955,2025-01-01 06:35:07.085262739,High,IT Support,Hardware,Closed
TCK-1021,2025-01-01 08:03:53.303330,2025-01-01 12:37:31.573128450,Medium,HR,Email,Resolved
TCK-1022,2025-01-01 08:03:53.303330,2025-01-01 15:33:22.024622075,High,Operations,Software,Resolved
TCK-1023,2025-01-01 09:04:22.466246,2025-01-04 21:50:05.352523622,Medium,Finance,Hardware,Resolved
TCK-1024,2025-01-01 09:04:22.466246,2025-01-01 22:25:03.556529825,High,Finance,Access Control,Closed
TCK-1025,2025-01-01 09:04:22.466246,2025-01-01 13:11:45.127518539,Critical,IT Support,Access Control,Closed
TCK-1026,2025-01-01 10:35:06.210621,2025-01-01 17:55:24.853735057,Low,Finance,Email,Closed
TCK-1027,2025-01-01 10:35:06.210621,2025-01-01 17:48:06.922209983,Medium,HR,Software,Closed
TCK-1028,2025-01-01 11:05:20.792079,2025-01-01 11:26:51.795734654,Low,IT Support,Access Control,Closed
TCK-1029,2025-01-01 11:05:20.792079,2025-01-01 13:42:12.176750185,Medium,HR,Software,Closed
