Ticket_ID,Created_Date,Resolved_Date,Priority,Department,Category,Status
TCK-1000,2025-03-09 06:07:42.008794095,2025-03-09 15:37:43.670132009,Low,  HR ,Network,Closed
TCK-1001,2025-03-01 22:10:48.920590783,2025-03-03 15:44:01.720350937,Low,DevOps,Hardware,Resolved
TCK-1002,2025-02-01 16:59:05.647244479,2025-02-03 16:03:47.727644329,Medium,Finance,Hardware,Resolved
TCK-1003,2025-04-20 07:23:31.253418342,2025-04-20 17:08:18.852488831,Low,Operations,Hardware,Closed
TCK-1004,2025-03-27 19:00:58.944230196,2025-03-28 15:01:34.071093189,Medium,IT Support,Database,Resolved
TCK-1005,2025-06-05 19:49:41.832622904,2025-06-06 03:47:56.878540835,Medium,IT Support,Access,Closed
TCK-1006,2025-01-06 18:42:48.195656969,2025-01-06 23:56:01.286923790,Medium,IT Support,Database,Resolved
TCK-1007,2025-04-26 21:30:34.009337324,2025-04-28 18:47:21.872523839,Medium,DevOps,Database,Resolved
TCK-1008,2025-05-18 07:56:20.958611800,2025-05-18 22:20:16.620417087,Low,Operations,Software,Resolved
TCK-1009,2025-05-17 16:58:55.124016552,2025-05-18 16:30:03.200111026,None,Finance,Hardware,Resolved
TCK-1010,2025-06-09 11:50:22.336269606,2025-06-09 18:47:01.962821997,High,IT Support,Hardware,Resolved
TCK-1011,2025-05-12 05:25:32.768484292,2025-05-13 02:01:57.034843671,Medium,DevOps,Network,Closed
TCK-1012,2025-06-17 00:08:22.078744972,2025-06-18 11:19:34.637469113,Low,  Finance ,Hardware,Closed
TCK-1013,2025-03-01 21:04:35.440414504,2025-03-02 04:26:34.118218438,Low,IT Support,Database,Closed
TCK-1014,2025-04-01 13:51:52.849319998,2025-04-01 18:00:32.424375998,Medium,IT Support,Software,Closed
TCK-1014,2025-04-01 13:51:52.849319998,2025-04-01 18:00:32.424375998,Medium,IT Support,Software,Closed
TCK-1016,2025-01-02 06:03:24.397740784,2025-01-02 13:49:41.450631658,Low,HR,Database,Resolved
TCK-1017,2025-02-13 05:20:49.201262037,2025-02-13 15:27:33.086891969,Medium,Operations,Database,Closed
TCK-1018,2025-01-19 03:29:13.529907054,2025-01-20 05:15:56.524868046,Medium,HR,Network,Closed
TCK-1019,2025-02-16 20:06:47.194136840,2025-02-17 00:47:11.591540443,Medium,IT Support,Database,Closed
TCK-1020,2025-02-01 20:49:37.316505636,2025-02-02 02:28:47.362557857,Medium,Operations,Database,Closed
TCK-1021,2025-01-06 03:12:23.426290657,2025-01-06 14:48:43.969238264,High,IT Support,Software,Closed
TCK-1022,2025-06-13 16:11:38.084906880,2025-06-13 23:29:44.921239712,Low,IT Support,Software,Closed
TCK-1023,2025-01-02 11:31:26.139360041,2025-01-03 00:15:34.903755767,Medium,HR,Software,Closed
TCK-1024,2025-05-13 11:52:29.508730352,2025-05-14 00:00:31.049873444,Low,  HR ,Hardware,Resolved
TCK-1025,2025-01-28 09:16:43.937372321,2025-01-29 12:47:15.828664221,Medium,Finance,Network,Resolved
TCK-1026,2025-06-14 04:49:55.081337780,2025-06-14 10:39:57.558439815,Medium,IT Support,Software,Resolved
TCK-1027,2025-06-10 16:52:42.452501904,2025-06-12 06:31:55.497625709,Low,Operations,Database,Closed
TCK-1028,2025-04-28 16:51:10.628334690,2025-04-29 01:27:25.936094164,Medium,Operations,Hardware,Closed
TCK-1029,2025-05-02 00:03:05.497699012,2025-05-02 10:40:08.499175549,High,IT Support,Network,Resolved
TCK-1030,2025-01-01 23:03:54.335912596,2025-01-02 23:52:46.902184426,Low,Operations,Software,Closed
TCK-1031,2025-06-27 06:38:42.596198740,2025-06-27 12:27:32.399291978,Medium,IT Support,Software,Resolved
TCK-1032,2025-06-08 00:14:12.650811064,2025-06-08 05:19:53.537011941,Critical,IT Support,Network,Resolved
TCK-1033,2025-06-11 02:51:32.022554392,2025-06-13 06:24:36.124123200,Medium,DevOps,Software,Resolved
TCK-1034,2025-04-29 15:56:11.040215160,2025-04-30 10:49:29.882032889,High,DevOps,Network,Resolved
TCK-1035,2025-03-04 01:28:46.314435352,2025-03-04 19:34:09.132300137,High,Finance,Network,Closed
TCK-1036,2025-06-10 20:33:43.790655156,2025-06-11 18:41:28.786572857,Low,  HR ,Database,Closed
TCK-1037,2025-02-22 11:21:11.266607343,2025-02-22 20:00:07.450924422,Low,IT Support,Network,Closed
TCK-1038,2025-04-12 06:54:49.922057940,2025-04-12 14:14:33.288947854,High,Operations,Access,Resolved
TCK-1039,2025-01-18 22:50:16.081892059,2025-01-20 08:51:06.400133637,High,HR,Software,Closed
TCK-1040,2025-06-15 22:50:53.959824530,2025-06-16 05:22:10.335604870,Low,IT Support,Database,Resolved
TCK-1041,2025-01-26 08:07:42.159257909,2025-01-26 19:44:18.013972933,Low,HR,Hardware,Closed
TCK-1042,2025-02-10 11:33:15.122719294,2025-02-10 21:12:49.893111577,Medium,IT Support,Access,Resolved
TCK-1043,2025-04-11 11:08:22.427209999,2025-04-13 05:30:47.398830939,High,DevOps,Network,Closed
TCK-1044,2025-05-18 12:52:54.339312288,2025-05-19 11:32:31.730483904,Medium,IT Support,Hardware,Closed
TCK-1045,2025-04-22 11:35:51.509921322,2025-04-22 19:26:46.540876770,Critical,Operations,Hardware,Resolved
TCK-1046,2025-02-11 18:49:06.611868028,2025-02-12 16:16:44.723447650,None,HR,Hardware,Closed
TCK-1047,2025-01-01 04:04:26.197387529,2025-01-02 06:10:20.681213532,High,Operations,Hardware,Closed
TCK-1048,2025-05-17 06:53:25.824941294,2025-05-17 23:41:50.651998354,Medium,  Operations ,Database,Resolved
TCK-1049,2025-06-27 08:05:44.332569330,2025-06-27 20:41:44.613663714,Medium,IT Support,Database,Closed
TCK-1050,2025-05-26 18:49:28.847000318,2025-05-28 20:16:57.716215782,Low,DevOps,Hardware,Closed
